tweetId	authorId	coordinates	date	text
1117668886588088323	920430841532243969	[-3.819622, 40.4378698]	2019-04-15 08:00:02	En España son tendencia: 1 - #GameofThrones 2 - #FelizLunes 3 - #JuegodeTronos 4 - #VivePoniente  691f6 Encuentra FGE a mujer reportada como desaparecida ... Visita: https://t.co/KKxYSQbXIK
1117668898630000645	4096050322	null	2019-04-15 08:00:05	🇪🇸 Terrific #weather in #Spain today (Monday): ➊ Seville (☀24°/10°) ➋ Murcia (⛅24°/9°) ➌ Alicante (⛅22°/9°) ➍ Las Palmas de Gran Canaria (☀19°/18°) ➎ Cordova (🌥23°/10°) ➏ Valladolid (🌦20°/5°) https://t.co/jS0U6trUUj
1117668909363023874	54240331	null	2019-04-15 08:00:07	@LuluOfEvil Tio por favor así no se puede. https://t.co/orlmY76ZlT
1117668940141006849	63670646	null	2019-04-15 08:00:15	Ojalá mis apuntes ejercieran la misma fuerza de atracción que la que ejerce la cama sobre mi
1117668967814971393	157288888	null	2019-04-15 08:00:21	He dormido tan mal como si me hubiera quedado esperando la serie pero sin haberlo hecho. Superad esto.
1117669146144182272	269860000	null	2019-04-15 08:01:04	@Rosa123413Rosa Buenos dias Rosa, que pases un feliz Lunes Santo y andes por donde no va a llover, un abrazo.
1117669243389128704	93408046	null	2019-04-15 08:01:27	@TaquiBox Alabado seas Freddy 👏👏👏 https://t.co/vlNeWBhOws
1117669260552278016	11720112	[-3.66666667, 40.5]	2019-04-15 08:01:31	Simplemente, pan. ¿Qué le pondrías tú para arrancar la semana? 🤔 Buenos días de casi vacaciones! ☀️. . . . #IchLiebeBrot #sourdougbread #homemadebread #panarra #masamadre #bakingbread… https://t.co/gONDIvLkXp
1117669306844819457	923203130900336640	null	2019-04-15 08:01:42	Mañana martes estará pasando consulta en EboraSalud la Dra. Adriana Pérez. Reserve su cita en   ➡️ 925 684 660 / 925 684 661  #otorrinoentalavera #otorrino #eborasalud #otorrinolaringologia #cirugiaendoscopica #salud #respirar #orl #equipo #medico #cirugia #nariz #esteticanasal https://t.co/eDmHrYLOqJ
1117669338201378816	63670646	null	2019-04-15 08:01:50	@Rociofc15 Pues no me pongas semáforos porfa, a ver si así no llego tarde 😂
1117669530933891073	155564978	null	2019-04-15 08:02:36	@MrRadu pico
1117669547354537984	283199023	null	2019-04-15 08:02:40	Meterse a Twitter y recordar que perteneces a esa parte marginal y extraña de la población que no ve #JuegoDeTronos #GameofThones por el resto #FelizLunes a todos https://t.co/g95CtGspB5
1117669598571171842	93408046	null	2019-04-15 08:02:52	@GemaPuenteviejo @xversacxe La gente está criticando los colores de la pancarta porque tiene los mismos colores que usaba Chavez y las 8 estrellas las puso Chavez, un dilema venezolano que pasará años en ser olvidado...
1117669636235984896	187594920	null	2019-04-15 08:03:01	Penoso titular
1117669709258866688	1322178296	null	2019-04-15 08:03:18	A estas alturas de la película ¿Quién no conoce Honest Greens?.  https://t.co/d17vtQvxG2 https://t.co/G0eQJ6xGJ9
1117669768134373376	1322178296	null	2019-04-15 08:03:32	@MicroplanMadrid Total! Y me avisas! 😛
1117669816406507520	1169162934	null	2019-04-15 08:03:44	Venga Jenny que esta semana son sólo 3 días de trabajo
1117669829505368064	93408046	null	2019-04-15 08:03:47	@pinpilinpauxa Yo nunca 🙅‍♂️🙆‍♂️💁‍♂️
1117670077149646849	3242105824	null	2019-04-15 08:04:46	me tome dos monster y no he podido dormir en toda la madrugada. good job me
1117670201196253184	1169162934	null	2019-04-15 08:05:15	@treatyouniall disfruta muchísimo de Shawn 💜💜💜💜
1117670303319113728	331220696	null	2019-04-15 08:05:40	Alguien se ha agobiado. https://t.co/UXTNjicu5w
1117670334113767424	54240331	null	2019-04-15 08:05:47	@anemonzon No puede, irreversible
1117670358813958144	584894634	[-3.9307, 40.57657]	2019-04-15 08:05:53	Buenos días!! Todo preparado  para el destino... protección, potenciador, hidratación.. este año consigue tu moreno deseado!!!  #cuidadosdiarios #pielsiemprejoven… https://t.co/PGdKOZSIhO
1117670379831668736	330256441	[-3.6898198, 40.40670224]	2019-04-15 08:05:58	DOMINGO DE PLANIFICACIÓN #Semana16 Esta semana, laboralmente hablando es cortita ¡¡¡Yupiiiiii!!! En mi caso, bastante intensa pero a por todas que voy. Por tanto mi formato de… https://t.co/xzAeywcVer
1117670389239484416	752560698283220992	null	2019-04-15 08:06:00	@Dyslexart Ohhhh!!! Yo pensé que me lo ibas a dar a mí..... https://t.co/cWPcUeFSf7
1117670461947641856	224371808	null	2019-04-15 08:06:18	¡Nos vemos en un rato!👇🏻
1117670464107765760	705663958	null	2019-04-15 08:06:18	Confirmen en #españa si estos IMPRESENTABLES de @HBO_ES también los tienen jodidos. #Paridos🤬🤬🤬🤬 https://t.co/8AsbzVSXl9
1117670503953719296	878988669071347712	null	2019-04-15 08:06:28	Y no lo olviden:  En el camino aprendí que la humildad no es sumisión, la humildad es ese don que se suele confundir. No es lo mismo ser servil que ser un buen servidor (Rafael Amor).  #BuenosDiasMundo https://t.co/RDtINXbhBB
1117670627140427776	2317695283	null	2019-04-15 08:06:57	Resumen de Real Zaragoza vs AD Alcorcón (0-2) https://t.co/BLc9jL0F9i vía @YouTube
1117670672996679680	258007764	null	2019-04-15 08:07:08	Hija de la gran puta! Que tu jepeto! Se vea en todas partes! CERDA! #ResidenciaMedicaDigna #residencia https://t.co/gMgc6fcUP6
1117670712297381888	148700417	null	2019-04-15 08:07:17	¿Por qué tenéis tanto miedo a los spoiler? 🤔
1117670720136462336	2481269944	null	2019-04-15 08:07:19	@Suusiis Eso estoy intentando yo,pero no lo veo claro esta tarde lo volveré a intentar
1117670752495513605	224371808	null	2019-04-15 08:07:27	📽¿El siguiente gigante tecnológico puede ser español? En @CiudadanosCs pensamos que sí  1⃣Crear una empresa en 24h desde el móvil 2⃣Eliminar la maraña regulatoria 3⃣2 años sin impuestos para nuevas startups 4⃣Fondos públicos para apoyar inversiones privadas tecnológicas  En 1'👇 https://t.co/7B5BBELDBn
