detected	from
'Patri' acaba de convertirse en TT ocupando la 10ª posición en España. Más en #trndnl	#Got8x03 acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl
ESTO ES JUEGO DE TRONOS, ESTO ES PUTO JUEGO DE TRONOS, SANTA MADRE DE DIOS, ESTOY ASIMILANDO TODO.	¿acabamos de ver el mejor capítulo de todo juego de tronos? acabamos de ver el mejor capítulo de todo juego de tronos estoy en shock #GAMEOFTHRONES
Qué pedazo de capítulo el de hoy de Juego de tronos 😱 #JuegoDeTronos #Arya	¿acabamos de ver el mejor capítulo de todo juego de tronos? acabamos de ver el mejor capítulo de todo juego de tronos estoy en shock #GAMEOFTHRONES
mi personaje favorito decidiendo la serie, mi vida.	mi personaje favorito
#gamesofthrones acaba de convertirse en TT ocupando la 9ª posición en España. Más en	#Got8x03 acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl
Tu no eres mejor que el. Enhorabuena, ganó tu psoe. La vida da y quita.	Consuélate conque el PSOE ganó las elecciones. La vida da y quita.
Que cojones que cojones que cojones que cojones	QUE COJONES #GameofThrones
No puedo, no puedo.	No puedo decir nada. No puedo decir absolutamente nada.
No puedo	No puedo decir nada. No puedo decir absolutamente nada.
Que coño acaba de pasar #GoT	QUÉ ACABA DE PASAR #GOT
'NOT TODAY' acaba de convertirse en TT ocupando la 10ª posición en España. Más en #trndnl	#Got8x03 acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl
#GamefThrones acaba de convertirse en TT ocupando la 7ª posición en España. Más en	#Got8x03 acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl
Acabo de ver uno de los mejores capítulos de la historia, sin palabras. Cualquiera se va ahora a dormir. Arya, cásate conmigo. #Got8x03 #BattleOfWinterfell	ME EXPLICAS UNO DE LOS MEJORES CAPÍTULOS DE LA PUTA HISTORIA????????????
