detected	from
Le cantan a Pedro Sanchez con Rivera no. Ojalá	"Le cantan a Pedro los suyos ""CON RIVERA NO"" brutisimo."
"Le están gritando a Pedro Sánchez: ""CON RIVERA NO, CON RIVERA NO"" a lo que Pedro ha contestado ""¿Creo que ha quedado bastante claro no?"". Estoy súper contento #28A #EleccionesGenerales28A"	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
“Con Rivera no”, le gritan a Pedro Sánchez. El líder del PSOE: “yo creo que ha quedado bastante claro”. #28A	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
La gente: con Rivera NO! Sánchez: vale, ha quedado claro ❤️ OLEEEEEEEEEEE #EleccionesL6	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
Ferraz es un clamor a Pedro Sánchez al grito. ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! ¡Con Rivera no! #EleccionesGenerales28A #EleccionesGenerales	CON RIVERA NO!!! Gritos en Ferraz.
la gente le grita a Sánchez “con Rivera no” y él contesta “ya ha quedado bastante claro”. #EleccionesL6	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
"Los votantes del PSOE gritando ""No pasarán, no pasarán"". Esta gente me está representando #28A"	No pasarán no pasarán no pasarán
"""Con Rivera no"", le grita la gente a Sánchez en Ferraz. ""Creo que ha quedado bastante claro"" contesta él. Pues ea."	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
Ahora frente a la sede del en Ferraz: Gente: “¡Con Rivera no!” Pedro Sánchez “Creo que ha quedado bastante claro, ¿No? #EleccionesL6 #EleccionesGenerales28A #28A #EleccionesRTVE	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
Ha Casado se le ha borrado la sonrisa🤭🤭🤭🤭 #Elecciones28A	Ha Casado se le ha borrado la sonrisa🤭🤭🤭🤭 #EleccionesGenerales28A
Totalmente de acuerdo! Gracias !!	Totalmente de acuerdo con este análisis
La gente gritando CON RIVERA NO y Sánchez diciendo: creo que ha quedado claro.	Gente: CON RIVERA NO. Pedro: creo que ha quedado bastante claro ¿No?
"Le gritan a Pedro ""¡Con Rivera no!"" y ""¡Sí se puede!"" #EleccionesL6"	“Con Rivera no” y “sí se puede” le gritan los militantes del PSOE a Pedro Sánchez. #ElecccionesGenerales28A
