detected	from
Ansiedad nivel: *Darle a refrescar 1000 veces en Twitter hasta que salga un tweet sobre Venezuela*	Ansiedad nivel: *Darle a refrescar 1000 veces a twitter hasta que salga un tweet sobre Venezuela*
Su pareja me comenlos huevos 😂😂	Sin pareja me come los huevos😂
Xr el dinero si, pero me estresaría mucho	Mucho dinero xr ser narco
Fútbol	Fútbol americano
Soy sano x2 😇	Soy sano 😇
A veces	A veces lunática, A veces solar, Pero siempre siendo luz ✨ en Madrid, Spain
A veces lunática, A veces solar, Pero siempre siendo luz ✨ en Majadahonda, Madrid, Spain	A veces lunática, A veces solar, Pero siempre siendo luz ✨ en Madrid, Spain
A veces lunática, A veces solar, Pero siempre siendo luz ✨ en Majadahonda, Madrid, Spain	A veces lunática, A veces solar, Pero siempre siendo luz ✨ en Madrid, Spain
La vida	Mi vida
No se, q me aconsejen JAJAJJAJA	No se
¿Has visto esto? {0}.¡Si eres nuevo en AliExpress te llevas un cupón de US $4 para tu primera compra!	¿Has visto esto? {0}.¡Si eres nuevo en AliExpress te llevas un cupón de US $4 para tu primera compra!
