detected	from
🤟🏻😔🥀 es el silencio	Oyes el silencio?
#ELDEBATEenRTVE #ValorSeguro🇪🇸 en Móstoles, Madrid, Spain	#ELDEBATEenRTVE #ValorSeguro🇪🇸 en Móstoles, Madrid, Spain
Jajajajaja	Bro, eres famoso JAJAJAJAJA.
A lo han fichado los de #ELDEBATEenRTVE	A lo han ficha los de #ELDEBATEenRTVE
me río de la hipocresía de rivera, queriendo luchar contra un gobierno liderado por independentistas pero solo por sus actos y comentarios deseando un gobierno liderado por el neofascismo	me río de la hipocresía de rivera, queriendo luchar contra un gobierno liderado por independentistas pero solo por sus actos y comentarios deseando un gobiernado liderado por el neofascismo
El debate. El Silencio. LA M E D I O C R I D A D #ELBEBATEenRTVE	El debate
Silencio.	¿Oyen eso? Es el silencio. El silencio de los corderos.
Mi españita no es tu españita. Lo que para ti es odiable, para mi adorable.	Victor, tu españita mo es mi españita. La gente que para ri es odiable, para mi adorable.
"Albert: ""¿Lo escuchan? Es el silencio"". #ELDEBATEenRTVE #28A"	Albert Rivera: Me escuchan... #ELDEBATEenRTVE
Después el debate...un debate sobre el debate #ELDEBATEenRTVE	El debate
SILENCIO 10	SILENCIO 10
"""¿Lo escuchan? Es el silencio"" #ElDebateEnRTVE"	Yo en mi casa mas solo que la una: *Lo escuchan, es el silencio*
"""ES EL SILENCIO"""	¿Oyen eso? Es el silencio. El silencio de los corderos.
Vamos 👏✌️💪	: “Los españoles vamos a decir BASTA, los españoles ya no vamos a callar nunca más. El #28A vamos a votar, vamos a ganar, #VamosCiudadanos, #VamosEspaña” #ELDEBATEenRTVE 📺 #VamosAlbert 🍊
Haber que pasa...	Que le pasa?
Usted, de educación y respeto anda escaso. Va ha dimitir si hay condena firme por el caso de corrupción de los EREs..? Si o No. O por lo contrario acompañará a Griñan y Chávez a la carcel como su partido hizo con Barrionuevo y Verá. P.D.: no insulte.	Va ha dimitir si hay condena firme por el caso de corrupción de los EREs..? Si o No.
¿Y esto de Ábalos?	Ábalos???? #ELDEBATEenRTVE
Acaba de publicar una foto en Community of Madrid	Acaba de publicar una foto en Verauto Motor
Acaba de publicar una foto en Community of Madrid	Acaba de publicar una foto en Verauto Motor
Nadie: Albert Rivera: lo escuchan??? es el silencio	Albert Rivera: Me escuchan... #ELDEBATEenRTVE
"""ES EL SILENCIO"""	¿Oyen eso? Es el silencio. El silencio de los corderos.
Rivera bochornoso haciendo constantemente alusión a un pacto con el PP. Casado en su línea de mentiras. Sánchez muy flojo, aunque con intervenciones buenas, e Iglesias sin absurdos monólogos, pero ignorado por los demás sin ser atacado ni puesto al límite. #ELDEBATEenRTVE	Casado en su línea de mentiras, Rivera bochornoso haciendo constantemente alusión a un pacto con el PP, Sánchez muy flojo, aunque con intervenciones buenas, e Iglesias sin absurdos monólogos, pero ignorado por los demás sin ser atacado ni puesto al límite. #ELDEBATEenRTVE
😂 😂 😂 😂 Jajaja	Jajaja me muero
Que hace Abalos dando un mitin????????#ELDEBATEenRTVE Rosa!!!!!!! que te estás pasando	Abalos dando un mitin !
En su cabeza era espectacular	En su cabeza era espectacular
Y mañana otra vez con lo mismo	Mañana lo ponen otra vez #ELDEBATEenRTVE
Pero cuando va a cortar Rtve a este golfo de	Rtve corta a este golfo de
Bien. 👏👏👏😉	Empezando bien
¿Oyes eso, Albert? No es el silencio. Levántate de la cama, gandul, que el bebé está llorando. #ELDEBATEenRTVE	¿Oyes eso, Albert? No es el silencio, es tu bebé llorando. Ya te puedes levantar de la cama, gandul. #DebateTVE
Me muero.	Jajaja me muero
¡Feliz día del libro! #NuevaFotoDePerfil	Es el día del libro
Gracias Cris!	Gracias 😊
[22/4/19 23:39:51]: Eres mi bebe joder [22/4/19 23:39:54]: Te quiero [22/4/19 23:40:06]: Yo te quiero mas bebee No hay mejores conversaciones que estas...🤤	[22/4/19 23:39:51]: Eres mi bebe joder [22/4/19 23:39:54]: Te quiero [22/4/19 23:40:06]: Yo te quiero mas Estas conversaciones...🤤
"""Y que manera de perder las formas, y que forma de perder las maneras"" 💗 en Community of Madrid"	"""Y que manera de perder las formas, y que forma de perder las maneras"" 💗 en Community of Madrid"
#ELDEBATEenRTVE Oye que yo no soy nacionalista pero hago una tarjeta sanitaria en la que el 80% lo ocupa la bandera.	Oye que yo no soy nacionalista pero hago una tarjeta sanitaria en la que el 80% lo ocupa la bandera.
[22/4/19 23:39:51]: Eres mi bebe joder [22/4/19 23:39:54] : Te quiero [22/4/19 23:40:06]: Yo te quiero mas bebee No hay mejores conversaciones que estas..🤤	[22/4/19 23:39:51]: Eres mi bebe joder [22/4/19 23:39:54]: Te quiero [22/4/19 23:40:06]: Yo te quiero mas Estas conversaciones...🤤
ahora jajajaja	¿Ahora?
*Silencio*	SILENCIO 10
Buenas noches	Buenas noches Carmen
Buenas noches, feliz descanso!!🙋‍♀️😴😘	, Buenas noches Javier, feliz martes. 😁
