detected	from
Ojalá! Y de todo el país!	Ojalá!
Jajajaja	Jajajaja me encanta ❤🖤
Ya han ganado todos los partidos ??? #EleccionesGenerales28A	¿Ya han ganado todos?
Vamos #Rayo ⚡	Vamos #Rayo ⚡
Jajajaja	Jajajaja me encanta ❤🖤
Predicciones para el episodio de esta noche #BattleOfWinterfell	Mis predicciones para el episodio de esta noche 🥺 #BattleOfWinterfell
Lo oyen?? #EleccionesL6 la cagada de la campaña + + Mayoría absoluta Vamos Albert	#EleccionesL6 la cagada de la campaña + + Mayoría absoluta Vamos Albert
Gracias!!	Gracias bro 🙏🏾
Gracias!	Gracias bro 🙏🏾
Maricones que esto puede significar que MAROTO SE QUEDE SIN ESCAÑO. NUNCA TE PIDO NADA. #28A	Maricones que esto puede significar que MAROTO SE QUEDE SIN ESCAÑO. NUNCA TE PIDO NADA.
Feliz dia😘😍 en Madrid, Spain	Feliz 💯%
Esperemos que no	Esperemos....
Hay que esperar...	No me creo este sondeo... Hay que esperar
4️⃣temporadas, 3 campeonatos y un subcampeonato, orgullo de pertenencia a algo más que un simple club de futbol .... Vamos mi Rayito Vamos Campeón!!!!!🏆 y a por lo que nos queda…	4️⃣temporadas, 3 campeonatos y un subcampeonato, orgullo de pertenencia a algo más que un simple club de futbol .... Vamos mi Rayito Vamos Campeón!!!!!🏆 y a por lo que nos queda…
OJALA	Ojala
que ganas de negoney	Pero... ganas de?
