detected	from
En cuanto se haga el escrutinio completo, dire todo. No he ido a votar y estoy de resaca, pero hasta que la izquierda no gane, yo en silencio.	En cuanto se haga el escrutinio completo dire todo. No he ido a votar y estoy de resaca, pero hasta que la izquierda no gane, yo en silencio.
En cangas está arrasando o psoe. Non creo que se repita en maio	Hasta en cangas está arrasando o psoe. Para as de maio non creo que se repitan eses resultados
quiero ir a Ferraz:(	quiero ir a cerrar:(
Hoy hemos votado en democracia, para que no nos la boten. Para que nadie nos arrebate la España libre y diversa que tanto esfuerzo nos ha costado construir, y de la que tan orgullosas y orgullosos nos sentimos. #VotaPorFavor #28A	Hoy hemos votado en democracia, para que no nos la boten. Para que nadie nos arrebate la España libre y diversa que tanto esfuerzo nos ha costado construir, y de la que tan orgullosas y orgullosos nos sentimos. #VotaPorFavor #25A
Peblo por el pueblo	Pueblo por el pueblo
Hoy hemos votado en democracia, para que no nos la boten. Para que nadie nos arrebate la España libre y diversa que tanto esfuerzo nos ha costado construir, y de la que tan orgullosas y orgullosos nos sentimos. #VotaPorFavor #28A	Hoy hemos votado en democracia, para que no nos la boten. Para que nadie nos arrebate la España libre y diversa que tanto esfuerzo nos ha costado construir, y de la que tan orgullosas y orgullosos nos sentimos. #VotaPorFavor #25A
Como me alegro tía de verte ahí	Como me alegro PP de verte ahí.
Lo de Mariano si es tarjeta, claro	A Mariano si es tarjeta en cambio....
Y sin la prensa y las tv...	Dale las gracias la prensa ya las tv awco
TE QUIERO	Te quiero 3000 ❤️
Poco a poco xDD	Un poco.
Cómo me alegro tía de verte ahí. Donde te mereces	Como me alegro PP de verte ahí.
Muchas gracias	Gracias
GRACIAS!	Gracias
Muchas gracias	Gracias
JAJAJAJAJAJA vaia, a ver tu carita ahora	JAJAJAJAJAJA vaia
Me tranquiliza que podemos este perdiendo tantos escaños con respecto a 2016	Me tranquiliza que podemos haya perdido tantos escaños
Somos felices cuando conocemos noticias como la de Álvaro, un pequeño que padecía leucemia y que gracias a los avances de la medicina, volverá a sonreír. !Y con él! #IWillSurvive ➡	Somos felices cuando conocemos noticias como la de Álvaro, un pequeño que padecía leucemia y que gracias a los avances de la medicina, volverá a sonreír. !Y con él! 💫 #IWillSurvive #JuntosSomosMás 💪❤️ ➡
Escrutinio: 69’14% PSOE: 123 PP: 65 Ciudadanos: 57 U. Podemos: 42 Vox: 23 ERC: 15 JxC: 7 PNV: 6 ... #EleccionesL6 #EleccionesGenerales28A #28A #EleccionesRTVE	Escrutinio: 60’50% PSOE: 124 PP: 65 Ciudadanos: 57 U. Podemos: 42 Vox: 23 ERC: 15 JxC: 7 PNV: 6 ... #EleccionesL6 #EleccionesGenerales28A #28A #EleccionesRTVE
cómo estáis???	cómo estáis????
Mejor	"¿ Que es ""mejor"" #EleccionesGenerales28A #28A ?"
Pablo casado 👉🏻 #EleccionesL6	Pablo Casado al frente del PP. #EleccionesL6 #EleccionesGenerales28A
Hoy en Alcorcón ya se olía que la cosa andaba torcida para ... 🧐 #EleccionesL6N #EleccioneGenerales28A	Hoy en Alcorcón ya se presagiaba algo con ... #EleccionesL6N #EleccioneGenerales28A
Estoy muy mal!!! #28A #EleccionesGenerales2019 #EleccionesRTVE	Muy mal.
Totalmente de acuerdo	Totalmente de acuerdo
Me uno	Me uno a la petición!!
Todavía no😂	Todavía no😉
Qué desastre el PP.	Desastre sin paliativos para el PP.
Es así!	Así ahora....
El se mete en el Congreso. Bravo	El PRC se mete en el Congreso!! Bravo #EleccionesGenerales28A
Parece que hay fiesta en Ferraz.. #28A #EleccionesGenerales28A #28APSOE	Parece que hay fiesta en Ferraz.. #28A #EleccionesGenerales28A #28APSOE
73% de escrutinio: PSOE se mantiene a 123 y UP esta a 42 #28A #EleccionesGenerales2019 #EleccionesRTVE	57% de escrutinio PSOE A 125!!! UP A 42!!!! 😍 😍 😍 ❤️ #28A #EleccionesGenerales2019 #EleccionesRTVE
Hey, Pablo Casado #EleccionesL6	Pablo Casado al frente del PP. #EleccionesL6 #EleccionesGenerales28A
Eso digo yo xD	Esto digo yo xD
Ahora mismo la llave de todo	ahora mismo
Qué está pasando?😱 #EleccionesGenerales28Abril	Está pasando presidente!!
#EleccionesGenerales28Abril Mi coalición sería PSOE - UP - ESQUERRA, todo izquierda y rebajando tensión con Cataluña. Y aplicar medidas sociales....la derecha en España al banquillo.	Mi coalición sería PSOE - UP - ESQUERRA, todo izquierda y rebajando tensión con Cataluña. Y aplicar medidas sociales....la derecha en España al banquillo. #EleccionesL6
La tuya ahora mismo? Jajajajaja	ahora mismo
Quien ha ganado? #EleccionesL6	Quien ha ganado? #28A
Ni un paso atrás nunca, Rubén. ❤️	Ni un paso atrás en nuestros derechos. NI UNO.
Escrutinio: 78’05% PSOE: 123 PP: 65 Ciudadanos: 57 U. Podemos: 42 Vox: 24 ERC: 15 JxC: 7 PNV: 6 ... #EleccionesL6 #EleccionesGenerales28A #28A #EleccionesRTVE	Escrutinio: 60’50% PSOE: 124 PP: 65 Ciudadanos: 57 U. Podemos: 42 Vox: 23 ERC: 15 JxC: 7 PNV: 6 ... #EleccionesL6 #EleccionesGenerales28A #28A #EleccionesRTVE
La izquierda en España	España:
GRACIAS MARVEL ❤️💛	Gracias
Unidas Podemos, mi coalición sería PSOE - UP - ESQUERRA, todo izquierda y rebajando tensión con Cataluña. Y aplicar medidas sociales....la derecha en España al banquillo. #EleccionesL6	Mi coalición sería PSOE - UP - ESQUERRA, todo izquierda y rebajando tensión con Cataluña. Y aplicar medidas sociales....la derecha en España al banquillo. #EleccionesL6
'Ferraz' acaba de convertirse en TT ocupando la 9ª posición en España. Más en #trndnl	'Génova' acaba de convertirse en TT ocupando la 10ª posición en España. Más en #trndnl
Y pasó.	Y pasó #hazquepase #EleccionesL6
¿Habéis entendido ya lo del #VotoÚtil? Gracias a todos los votantes de #Vox, gobernará #Sanchez 4 años, por dañar a la única opción de Valor y Segura de Gobierno #PP. Vergüenza. #DisfrutadLoVotado #España #EleccionesGenerales28A	¿Habéis entendido ya lo del #VotoÚtil? Gracias a todos los votantes de #Vox, gobernará #Sanchez 4 años, por dañar a la única opción de Valor y Segura de Gobierno #PP. Vergüenza. #DisfrutadLoVotado #EleccionesGenerales28A
Se está quedando buena noche #Sanse ¿valor Seguro?	Se está quedando buena noche #Sanse
España (y yo) ahora mismo. #Elecciones28A	ahora mismo
Mejor	"¿ Que es ""mejor"" #EleccionesGenerales28A #28A ?"
