detected	from
Se me ha olvidado el DNI en casa pero tengo esto #ELDEBATEenRTVE	Se me ha olvidado el DNI en casa pero tengo esto
Acaba de publicar una foto en Community of Madrid	Acaba de publicar una foto en Puerta del Sol Madrid
'Albert' acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl	'Pedro Sanchez' acaba de convertirse en TT ocupando la 9ª posición en España. Más en
Que bueno ¡Gracias por participar!	Gracias por participar
"""El Ruki"" para ""Quiero seguir compartiendo muchos cumpleaños a tu lado"". 😍 Mensaje alto y claro a los maltratadores: así hay que tratar a las mujeres. ¡Aprendan! ✍️"	"""El Ruki"" para ""Quiero seguir compartiendo muchos cumpleaños a tu lado"". 😍 Mensaje claro a los maltratadores: así hay que tratar a las mujeres. ¡Aprenda! ✍️"
"🎥 a Pedro Sánchez: ""Viene a darnos lecciones de política social el que baja el sueldo a los funcionarios, el que recorta las pensiones y el que sume a España en una crisis con 3 millones y medio de parados"". #ELDEBATEenRTVE #PabloCasadoGana 🇪🇸"	"🎥 a Pedro Sánchez: ""Viene a darnos lecciones de política social el que baja el sueldo a los funcionarios, el que recorta las pensiones y el que sume a España en una crisis con 3 millones y medio de parados"". #ELDEBATEenRTVE #PabloCasadoGana 🇪🇸"
Rivera ha traído su foto de la mesilla de noche?? Esto si que es una sorpresa! #ElDebateEnRTVE	Rivera ha traído su foto de la mesilla de noche?? Esto si qie es una sorpresa! #ElDebateEnRTVE
Jajajaj	Jajajaj
Y otra.	Otra mentira más de Casado #ELDEBATEenRTVE #ganapedro
127 iniciativas pactadas y. ‘¿de qué color tiene usted machadas las manos, señor ?’ Grande #ELBEBATEenRTVE	“Usted ha pactado 127 iniciativas en el Parlamento Vasco con Señor Casado, ¿de qué color tiene usted manchadas las manos, entonces?” #GanaPedro #ELDEBATEenRTVE #HazQuePase #LaEspañaQueQuieres #votaPSOE
La foto de la mesita de noche 😍	La foto que tiene en la mesita del debate vs. La foto que tiene en su mesita de noche. #ElDEBATEenRTVE
