detected	from
Gracias! 😊	Gracias
Gracias.	Gracias
Gracias España viva ! /♥️ #28A	Gracias
Vergonzoso	Vergonzoso
Visto los resultados de estas elecciones prefiero mil veces un pacto de PSOE-CS, antes de darle poder a PODEMOS, INDEPENDENTISTA y BILDU . Me alegro por sus resultados Sr. Rivera.	Visto los resultados de estas elecciones prefiero mil veces un pacto de PSOE-CS, antes de darle poder a PODEMOS, INDEPENDENTISTA y BILDU .
Muchas gracias!!	Muchas gracias, miniCarol
Ya somos dos!!!	Somos dos!!
insoportable y pésimo partido del Madrid; a ver cuando acaba esta pesadilla ya	insoportable a ver cuando acaba
yo tampoco	Muchos en madrid , eso si yo tampoco lo entiendo.. 😉
¿Es lo mismo el 85% del voto escrutado que el 85% del escroto votado? #28A	¿Es lo mismo el 85% del voto escrutado que el 85% del escroto votado?
Hoy todos los socialistas sonreímos con Pedro: construyamos a partir de mañana un futuro de justicia social, limpieza y convivencia para	Hoy todos los socialistas sonreímos con Pedro: construyamos a partir de mañana un futuro de justicia social, limpieza y convivencia para España!!
Estoy feliz 🥰🥰🥰	Estoy feliz chicos. ¡Gracias España! 🇪🇦🏳️‍🌈 #28A #EleccionesGenerales
Recta final de estas jornadas electorales y broche de oro a este fin de semana. ¡Lo mejor de los 80 y los 90 hasta hoy! Quédate en KISS, disfruta de la buena música y enterate de todo lo que pasa en estas elecciones 2019. Soy ,Nos lo cuenta todo	Recta final de estas jornadas electorales y broche de oro a este fin de semana. ¡Lo mejor de los 80 y los 90 hasta hoy! Quédate en KISS, disfruta de la buena música y enterate de todo lo que pasa en estas elecciones 2019. Soy lo cuenta todo
Y yo contigo!	Jajajajajajaja estoy contigo
Gracias gracias	Gracias
Si se puede joder ! Que orgullo ⚡ #VamosRayo. 🙏😁	Si se puede joder ! Que orgullo ⚡ #VamosRayo. 🙏😁
Ojalá	Ojalá !! BANCAROTA !!
#EleccionesGenerales28A atención al giro de la veleta	Atención al giro de la veleta Rivera
Pablo fraCasado #28A	Pablo Fracasado.
PSOE gana elecciones en España, según sondeo	El PSOE gana las elecciones
Pablo Fra-casado 😂 😂 #EleccionesGenerales28A #PP #28A	Pablo fra-casado ... #EleccionesGenerales28A
Te quiero, España. Y te querría fuera el que fuera el resultado de estas elecciones. Pero hoy ha ganado el respeto, la tolerancia y lo público, y por eso te quiero más. ¡Viva España! (Si, si, soy roja) #EleccionesGenerales28A	Te quiero, España. Y te querría fuera el que fuera el resultado de estas elecciones. Pero hoy ha ganado el respeto, la tolerancia y lo público, y por eso te quiero más. ¡Viva España! (Si, si, soy roja)
Resultados elecciones 28-A: El PSOE gana y el PP se desploma	El PSOE gana las elecciones
Estoy 🤬	Estoy bien :)
A TU CASA!!	A TÚ CASA!!
el picorcillo electoral de	el picorcillo de
El PSOE de Pedro Sánchez gana las elecciones en España y la extrema derecha irrumpe en el Congreso	El PSOE gana las elecciones
Aos que votáchedes a En Marea: ide volvendo nas locais ó Bloque, xa durou bastante a carallada. #ElecccionesGenerales28A	Aos que votáchedes a En Marea: ide volvendo nas locais ó Bloque, xa durou bastante a carallada. #ElecccionesGenerales28A
Maroto fuera del Congreso. Poesía.	Poesía.
Hoy puedo decir orgulloso que viva la gente de mi país.	Hoy sí que estoy orgulloso de mi país. #28A
Pablo Fra-Casado	Pablo fra-casado ... #EleccionesGenerales28A
España dice no a España. Visto lo visto, creo que es el momento de que se independicen Cataluña y País Vasco	Visto lo visto, creo que es hora de que el País Vasco y Cataluña se independicen, al final son un lastre
Eso de celebrar está muy bien, pero no olvidemos que el PP ha caido porque VOX le ha comido 24 escaños y Ciudadanos le ha comido con cuatro gritos mal dados. #28A #EleccionesGenerales28A #España #EleccionesGenerales #Elecciones2019	Eso de celebrar está muy bien, pero no olvidemos que el PP ha caido porque VOX le ha comido 24 escaños y Ciudadanos le ha comido con cuatro gritos mal dados.
Pablo casado	Pablo fra-casado ... #EleccionesGenerales28A
El PSOE tiene que elegir pactar con Ciudadanos o indultar a los independentistas catalanes. PP despedir a sus muchachos y hacer primarias. VOX tomarse 3 lexatines diarias. Ciudadanos si quiere crecer tiene que estar en el gobierno .Donde dije digo dije Diego	El PSOE tiene que elegir pactar con Ciudadanos o indultar a los independentistas catalanes. PP despedir a sus muchachos y hacer primarias. VOX tomarse 3 lexatines diarias. Ciudadanos si quiere crecer tiene que estar en el gobierno .Donde dije digo dije Diego
El PSOE tiene que elegir pactar con Ciudadanos o indultar a los independentistas catalanes. PP despedir a sus muchachos y hacer primarias. VOX tomarse 3 lexatines diarias. Ciudadanos si quiere crecer tiene que estar en el gobierno .Donde dije digo dije Diego	El PSOE tiene que elegir pactar con Ciudadanos o indultar a los independentistas catalanes. PP despedir a sus muchachos y hacer primarias. VOX tomarse 3 lexatines diarias. Ciudadanos si quiere crecer tiene que estar en el gobierno .Donde dije digo dije Diego
La derecha en España	LA DERECHA Y ULTRA-DERECHA ESTA NOCHE EN ESPAÑA 😍😍😂🤣🤣🤣😜😜😜😜
Buenas noches Beatriz	Buenas noches Paloma
Ojo a esto. Hay elecciones locales en menos de un mes y las mayorias absolutas pueden ser historia !!	Ojo. A esto. Hay elecciones locales en menos de un mes !!
Lo escuchan? Es el silencio	El silencio
Buenas noches Fuensanta	Buenas noches Paloma
Buenas noches	Buenas noches Paloma
Buenas noches	Buenas noches Paloma
vamos💪🏽💪🏽💪🏽	Vamos
Ojalá	Ojalá !! BANCAROTA !!
Acaso lo dudas?	Lo. Dudas? Jajaja
Pablo casado . Ahora mismo #EleccionesGenerales28A	Pablo fra-casado ... #EleccionesGenerales28A
🌸🌞 en Palacio de Cristal	💠 en Palacio de Cristal
RAYO, no te cambio ni por mil Champions. #LaFranjaNuncaSeRinde	RAYO, no te cambio ni por mil Champions. #LaFranjaNuncaSeRinde #Jemecismo
Yo al enterarme de la irrupción de VOX en el Parlamento #28A	La irrupción de VOX en el parlamento 😂 #28A
Primeras elecciones superadas 💪🏻 #EleccionesGenerales #28abril2019	Primeras elecciones superadas 💪🏻 #Elecciones2019 #28abril2019
ojalá ojalá ojalá	Ojalá !! BANCAROTA !!
Como que Rajoy no era tan malo...	Pues el Tenzanos no era tan malo...
Vamos a ver. El PSOE ha ganado el voto del miedo. Ha agitado todos los lobbys y ha metido todos los fake news que ha podido. Junto con la fragmentación de la derecha y la Ley Electoral lo ha conseguido. ¿Pero que precio pagará Sánchez? #EleccionesGenerales	Vamos a ver. El PSOE ha ganado el voto del miedo. Ha agitado todos los lobbys y ha metido todos los fake news que ha podido. Junto con la fragmentación de la derecha y la Ley Electoral lo ha conseguido. El problema está en que la cúpula del PSOE, que son capaces de todo.
Pero Patri que ha pasado criatura	Que ha pasado Patri?!?
¿el escaño de Coalición por Melilla?	Entra Coalición por Melilla y no FR?
'Rayo' acaba de convertirse en TT ocupando la 7ª posición en España. Más en #trndnl	'Ortega Smith' acaba de convertirse en TT ocupando la 6ª posición en España. Más en
